Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Booking Date,TimeZone,Main Currency,Main Amount,Record Type,Payment Currency,Received (PC),Authorised (PC),Captured (PC),Settlement Currency,Payable (SC),Commission (SC),Markup (SC),Scheme Fees (SC),Interchange (SC),Processing Fee Currency,Processing Fee (FC),User Name,Payment Method Variant,Modification Merchant Reference,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
AffiniPayLLC,AffiniPayLLCMP1,NJSVP8MB2JJQ7RT5,6QfxqNoSOw6WNYG4TwLJFm-3OQvkw3d2WjEz5EzwLB2Tq-136lM16r4ptb7dt03TUp4i,ach,2024-06-09 01:42:05,PDT,USD,2676.11,Expired,USD,,-2676.11,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,G9BQZNP6BGKV9ST5,6QfxqNoSOw6WNYG4TwLJFm-3OQvkw3d2WjEz5EzwLB2Tq-5vAQlYiip80Vq9VamdCNHe,ach,2024-06-09 01:44:05,PDT,USD,854.00,Expired,USD,,-854.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,RBQLG7CSH2V56N65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4h8NLt7oKJ6UHTloa38kNf,ach,2024-06-09 08:14:02,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,N5SJJCCP9HN776V5,7Ph1E1pzb5S5sA2WMPkOy6-2wEcrlCFx4krDJs6b9ejWU-7dEwfZ7NvOroMZZvTR8PfG,ach,2024-06-09 08:15:02,PDT,USD,11.17,Expired,USD,,-11.17,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,B2DLNQFNRXV98P65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-3SNcgtaykSqXxY33yZtKUb,ach,2024-06-09 08:22:17,PDT,USD,38.41,Expired,USD,,-38.41,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,HVTSFMX6BGKV9ST5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5GtbmIRXtgjwizrk9vu6Uc,ach,2024-06-09 08:22:17,PDT,USD,30.04,Expired,USD,,-30.04,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,ML4L3LSVBD492P65,65NsaUjiOaaBv7x0D2gXqq-3G7Nto4HsbjZouAxK1nm7l-1uADrgxf2BqCC1Onxs6LzL,ach,2024-06-09 08:29:02,PDT,USD,1.45,Expired,USD,,-1.45,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,P6HSLQXKXLN6DN65,65NsaUjiOaaBv7x0D2gXqq-3G7Nto4HsbjZouAxK1nm7l-2yExWh5TrSkCMeMJ4lRJgw,ach,2024-06-09 08:29:02,PDT,USD,1.45,Expired,USD,,-1.45,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,XTGQCP9LHK74STT5,65NsaUjiOaaBv7x0D2gXqq-3G7Nto4HsbjZouAxK1nm7l-40FClHDZiYYo1exJIOPlhm,ach,2024-06-09 08:29:02,PDT,USD,1.45,Expired,USD,,-1.45,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,Q7G6WPWCX5252VT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-6drJ1L21GD1HelfYlYIHqZ,ach,2024-06-09 09:11:31,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,M934HV33LDL2DTT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4usl0hmT8P0N9NYJuKLUsT,ach,2024-06-09 09:11:46,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,XV5BDHZ6BGKV9ST5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-229FrynSCv6z4yVIYtGnhC,ach,2024-06-09 09:11:46,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,CXXJ9DQHTGVWH575,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5gUPANOtcgMH9uKnRHALkh,ach,2024-06-09 09:18:31,PDT,USD,1.53,Refunded,USD,,,1.50,USD,-1.53,0.03,,,,,,ws@Company.AffiniPayLLC,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-3Lz84PH5ZN7NmnSjHFJTbT,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,CXXJ9DQHTGVWH575,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5gUPANOtcgMH9uKnRHALkh,ach,2024-06-09 09:18:31,PDT,USD,-1.50,SentForRefund,USD,,,-1.50,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-3Lz84PH5ZN7NmnSjHFJTbT,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,BV2F5LTVBD492P65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-1cu0aYwNzhHy1gYn3SDJCU,ach,2024-06-09 09:26:31,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,KZ3FNQZKXLN6DN65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5CzhEtEeRGtj0HiFinyCPz,ach,2024-06-09 09:26:31,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,QQX28ZWCX5252VT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-0y9jlNo4JUAV1NmS1uxgXI,ach,2024-06-09 09:26:31,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,P5MMT843LDL2DTT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-17u4fioHntuNm5TH7VLtTP,ach,2024-06-09 09:33:00,PDT,USD,36.17,Expired,USD,,-36.17,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,XVWJPV38XRHHSXT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-7YsrkkaKF3pCxFRsBxu1JF,ach,2024-06-09 09:58:00,PDT,USD,-1.50,SentForRefund,USD,,,-1.50,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-15cNWXSNtdAYFok0XxjAiz,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,XVWJPV38XRHHSXT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-7YsrkkaKF3pCxFRsBxu1JF,ach,2024-06-09 09:58:00,PDT,USD,1.53,Refunded,USD,,,1.50,USD,-1.53,0.03,,,,,,ws@Company.AffiniPayLLC,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-15cNWXSNtdAYFok0XxjAiz,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,T84MXTHNRXV98P65,ref_1,ach,2024-06-09 10:23:45,PDT,USD,12.34,Expired,USD,,-12.34,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,DBXK25FLHK74STT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-3zdg7CFbYDbgXnary6gJer,ach,2024-06-09 11:44:59,PDT,USD,61.11,Expired,USD,,-61.11,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,T68THNFLHK74STT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-474pjkk9P1IhCPgLFqCKjR,ach,2024-06-09 12:16:43,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,VVV3BQ47BGKV9ST5,6DBZu34nly6BNM54Z0Ov0x-7OwvY46oyhr0eLtfDI4Xgl-6pInguljQpmtQdQVpdBtm7,ach,2024-06-09 12:17:43,PDT,USD,11.17,Expired,USD,,-11.17,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,LNHFZT4LXLN6DN65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-6TX6OQhb2kTaFVowRpDgwH,ach,2024-06-09 12:25:28,PDT,USD,30.04,Expired,USD,,-30.04,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,N4SB6LHSH2V56N65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4KkybISEItTIMsE0HZTVBg,ach,2024-06-09 12:25:28,PDT,USD,45.80,Expired,USD,,-45.80,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,RSPQLVFLHK74STT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-31mdb1yhqa7nv9AGECTxvT,ach,2024-06-09 12:29:12,PDT,USD,31.86,Expired,USD,,-31.86,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,DNQJVLNSHJTRF475,645TPnaqecBvE9raQONBlh-6coqAJ53ez8iuZZEoPfOEd-0Am8tF9fAgMRfWcnnJiQ4A,ach,2024-06-09 12:31:42,PDT,USD,1.45,Expired,USD,,-1.45,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,HQ4WB4LNRXV98P65,645TPnaqecBvE9raQONBlh-6coqAJ53ez8iuZZEoPfOEd-4R0awbsbq3VmMYF7hNW2rN,ach,2024-06-09 12:31:42,PDT,USD,1.45,Expired,USD,,-1.45,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,SMQJVLNSHJTRF475,645TPnaqecBvE9raQONBlh-6coqAJ53ez8iuZZEoPfOEd-5N5mJwUXivcLHzcvkEIBpz,ach,2024-06-09 12:31:42,PDT,USD,1.45,Expired,USD,,-1.45,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,DVDML383LDL2DTT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-2gpAPVrk4hm1KRtcG2UCR2,ach,2024-06-09 13:11:27,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,SHM6L383LDL2DTT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-6kXmp4UGLQnYIa3n5BgRha,ach,2024-06-09 13:11:27,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,BHCCXHZVBD492P65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-52VoqC60zb1fmmCjlBAjmw,ach,2024-06-09 13:11:42,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,G3HT8267BGKV9ST5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5HWPsAmKK0uQg1fFnWdraK,ach,2024-06-09 13:31:27,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,RGTPBF83LDL2DTT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4toIm92qmALiymxLoxYeTq,ach,2024-06-09 13:31:27,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,T4MPR84DX5252VT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4tRRg1MHvI3lSTzKZgdVbB,ach,2024-06-09 13:31:27,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,QZW3ZM3C2JJQ7RT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-3AkhqaJNbUwJ3aANfie8rs,ach,2024-06-09 13:33:12,PDT,USD,10.21,Expired,USD,,-10.21,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,J54TRMQDKK74STT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-77wkYpKd7gH374Eb8teU0b,ach,2024-06-09 15:28:57,PDT,USD,-1.50,SentForRefund,USD,,,-1.50,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-7WMfAsWJN0vySBjIS6kXHs,,,,,,,,
